Id,Title,Contents,Desc,Created at,Updated at,Genre
301,プログラミングを学習するための基礎知識,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Outcx4StSyU"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",パソコン操作の基本です。,2019-01-22 00:15:25 UTC,2019-01-22 00:15:25 UTC,Basic
302,Gitの基本,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/cdz-cs_kYto"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Gitの基本的な使い方,2019-01-22 00:15:25 UTC,2019-01-22 00:27:24 UTC,git
303,Gitを使ったクローン、プルリク、マージの流れについて解説,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JispFS6zeDw"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Gitでクローン、プルリク、マージをする時の流れについて解説しました。,2019-01-22 00:15:25 UTC,2019-01-22 00:27:29 UTC,git
304,ソースコードをリモートリポジトリにプッシュするときの流れ,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/FIfbOSy1Bzg"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",プログラムを組んでからリモートリポジトリにアップするまでの流れです。,2019-01-22 00:15:25 UTC,2019-01-22 00:27:34 UTC,git
306,オブジェクトの種類について,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/o2YZztJtpc4"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",オブジェクトの種類を理解することで、今後のカリキュラムに対する理解度も上がります。,2019-01-22 00:15:25 UTC,2019-01-22 00:15:25 UTC,Ruby
307,putsについて,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/TFrYp4J6KLY"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",現場でもよく使う puts について説明します。,2019-01-22 00:15:25 UTC,2019-01-22 00:15:25 UTC,Ruby
308,変数について,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/U3yqlU7HGnk"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",変数について説明します。,2019-01-22 00:15:25 UTC,2019-01-22 00:15:25 UTC,Ruby
309,ifについて,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/SOLT-5evKQQ"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",ifについて説明します。,2019-01-22 00:15:25 UTC,2019-01-22 00:15:25 UTC,Ruby
310,配列について,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/o43AAYhNfU4"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",配列について説明します。,2019-01-22 00:15:25 UTC,2019-01-22 00:15:25 UTC,Ruby
311,繰り返し処理について,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/6XGB0MkcQ2w"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",繰り返し処理について説明します。,2019-01-22 00:15:25 UTC,2019-01-22 00:15:25 UTC,Ruby
